name,lat,lon,imgurl,other
Masjid Ar Radmah,-2.550829,112.962864,http://lh5.ggpht.com/Fr0UlT51PKpRF-HAU5baeTJ9-t9bKdx7WEGaVXnSY1TmLwBtFM2Pr5QyhBAiIdvHLCs_TszNW_N5kHg0jhG0,83f7513dfe8a4570bd8d79f1e80ebea5.16
Masjid Jami Sampit,-2.545042,112.963655,http://lh6.ggpht.com/K5BMGIrW2Kibuwq471xft87lho61tnmurpXrh48SBENkGbrce-vD6kCMf3t0C8wcK_Dn1lKSRrYouoi0adFH,ab1f2a3ba03641faa1c2ae3ea866dc2b.16
Masjid Jami As-salam,-2.545931,112.964489,http://lh6.ggpht.com/kTkpb3bpORa1iwzcLJglTRFZe9wVIKsHvSky86dKa4v92eZk5P3V6Z3Y4bLDPs5tNHRnJUNGvwEUnO2UJ6A,dfd6db2ffbc64038b55c92164af6576e.16
Mini Stadium,-2.537134,112.960128,http://lh3.googleusercontent.com/QArUbi7JfGgqJ2uSA20jBYHnuEfSgMHpul95Mz7Ag-nmquQEEchT-e7PgbqADTtTT_pb6sKd69Nv1y_21sKL,91f3f2420067425eb4837f7c89e779c3.16
Deducite Iuvenes,-2.537951,112.958958,http://lh4.ggpht.com/-veN2teXzFOqLXIijrifkgoO7BZ1aJz1Da59bVAO8--6_ft4Ezs3-y0l4DSnVdAVN1QAHs6dGo1TYUKi-AKP,9039495d23064f16a2659da5617933f5.16
Police Statue at Taman Kota,-2.538027,112.959202,http://lh3.ggpht.com/SgSGNvmdxNRDN4Pm07O5WSLfVPD_dq5MTxpUTpkftAOBvNIX60Y4AH6iBOL7IbUI_fHFia0q4BSPnq0UnqPztg,a1584521adc14b97851673dda0883b10.16
Tugu Pentol,-2.53912,112.958928,http://lh6.ggpht.com/JknXMBhLBRQVykrHzOd1RAzLfUaFV7JXnJh33lMVOol3XX6aeZUFBbea5WGBw7ivV4qar16jx4GRT5wUjCkVRA,a67353c6daa24c09bc7543f458dfef8e.16
Museum Kayu,-2.538235,112.958799,http://lh6.ggpht.com/IYkTTnfzsZ25FQkvCgIf6q4K6_CCy95UESi7h7GzsgR6lx38g5VTtxJJ39MN9q0cbLnEbEI2uipEXC_5YabS6g,4b191d5386894a8d8ea4d1d66d21995c.16
Kancil Statue,-2.537153,112.960612,http://lh3.googleusercontent.com/eDh76q0MeXxjLuhDhy1qPcpG5QdWRcrfKOBMHpgK8EphPCyr2bepwIr3-z7lQDmJaa_fWWZzFIvYZId7DFGy,a9da9417e9d7476581ae1ce5d2c5caa0.16
Al Falah Tower Mosque,-2.534792,112.953634,http://lh4.ggpht.com/b6p0YW3VCaB-0W8wGv_x_wvpYVQi195KWAVAoiKy2Kabn3YUVQR25fNdMcpdn6GpbrG9UPkUfJ3nRfj8p8M6,49529c0a72644f0c84ad70acc77ec967.16
Musholla Fathul Jannah,-2.541017,112.958244,http://lh6.ggpht.com/c7xKBpOfU0_w9SRbauf8pA7VGR3nOHsNJNM00JV4RDM-Xptv0-ZdTGCGsqNMEeFZZZG5iFg_UhekJUTXoxmj4A,061128ffd8a0486696ac17cd300bcfe9.16
Animal Statue,-2.536934,112.960657,http://lh3.googleusercontent.com/UY7VbOXPZ5_TyynIaxVSgxL4YEWYc4I8c-a2LynJjTBDUiO0_YwhJ-mOjYMFfQTITH3hlkTCtnhhqCOZT_ZUmg,6f77f2a10a2f46018448dd77769907ac.16
Relief Ikan,-2.539164,112.959164,http://lh5.ggpht.com/ZEAqSJ3SKS8nCiA6lyoccIiQtrmGGwJTG2HgChYN7fjXPk0QuNqlp7thdRz9zslWA45GV3iS8FCCfrOjHlJE,9d12c2291dd44fe286d7beb382d09d4d.16
Mural Penari Telkomsel,-2.538998,112.955247,http://lh5.ggpht.com/DsN8gpnnwdRCbzictKSgzvrC26HkvSbCqIBMLFVyV486fXIF7AHBEvQdcKhGty3yObxbq4i4BpOZXIk0KwtR,7ad576e7a09d4585aee7a430c938b7dc.16
Gerbang Sahati,-2.53244,112.964877,http://lh6.ggpht.com/idncdJU5En0N-KuMvlvj6yqgdMV3bqGzrT7FVzYmrEJB3hmkuI7scpA8x-rrVPNzx52M7Nmtz4NQZRjhEU8qvg,8e426de83b464e24a16985218873d8db.16
Langgar Rumah Angga,-2.532824,112.963086,http://lh5.ggpht.com/6tK1eDqL74nAQlKJk3qOmzG8-tOcQSSTM8z1Fq_KZyIQzda-z_t69fpTfUruzP4VXdQIlvRh5dcs--i1xq9F,cb17f7ed9d86418db0b7953c44e09ad9.16
Gereja Maranatha,-2.538418,112.962242,http://lh4.ggpht.com/kYNoK3FXBqE7o1n7WvaDXl3BgnBaEYuN8VH_oaC0OVKMP-Bm1PzHEvb8rpR5Z0h5lOZefWuvYyq8XH0eD0H8lQ,f3384b18612a4b29b51362c165b31e92.16
Tugu at Taman Kota Sampit,-2.537412,112.960011,http://lh3.googleusercontent.com/7wXdSTj4xNH5m0GL0j61AyUHLwPyG-7MH880MFVQtENQF2RiaMlY0srj96k1yEQpeMow0GmWkdoCJx5OvXIE,885cb43bbece4a1095ad9c202a75fcc5.16
Jelawat Fountain Statue,-2.537622,112.96031,http://lh3.googleusercontent.com/AlUryMjXYkpU-HBz1qclnj4XT1adiQefVheZMUU8qPLMsocMnRvJrshyn2gtAa3ugSbvvYs-Vi4bGgc5yCuc,9c232ce8353546ee973c776d1e0a5b94.16
Tut Wuri Handayani Spt,-2.537795,112.95914,http://lh4.ggpht.com/P7PUa5vshY3o2C6Drs4a6f4z1wJ0P6V0jRrI8ERzj72Zp0oKnLoVHuXwLVUr7Sn7k1JhDlunyhtsIArygZ47,222346a4d801485a9c5a9679fdee20ff.16
Mentaya FM Relief,-2.535778,112.957355,http://lh4.ggpht.com/9VAFCfLWvEupow7phMp7x9DrbX9n0JlobQxGt0HIT_CKbIdA09NkSV5TLKzEIO3l9Jv7iUImDZ_n6EkITraIzQ,667f48d96f654f05933f961e4918c98d.16
Siswarta Crest,-2.538135,112.959516,http://lh4.ggpht.com/p3WqU5HEJbfAx_nDSg1UMHHpUFrS0CMPo3SJiqL0PGLAblZMxUJRoA6dYjN56rWNiE1FEzpOkQvJlYUBNH5d,e0a14bfba2c54baeb28a36a43586c8ca.16
Crocodile Statue,-2.536861,112.960405,http://lh3.googleusercontent.com/Dh46yIkxeXl2946lSSqXatpwg7tD5prtmYNJ4Uh8SYNHG50DmTim89DY9eigzlmDiDYCa6HPUVM3sPkTtMBZ,3741cb8460754076ac950b44724932ed.16
Langgar Syamsul Mu'minin,-2.535099,112.957838,http://lh6.ggpht.com/Em4A_qpH-Mi07FpwpGmE11krgUHv_6XWjeXOEHtXByxyUPGlFDHAYHZsXPvCnVXWaw_lSvHXMvrzdT4bEvwy,f6ca67fc6bb5491c84b3ce04f09e661b.16
Mushola Al-Rizky,-2.541461,112.954004,http://lh3.googleusercontent.com/ZKaxdysK5XDcW04lu0g1sc1BiD20WoU3NwoVf1jbBj-33_2tFWFYlboyp5lZ31j5s9B3Diot6JDWM2SHm8P2,535957103f544eaea0c2370818f4da2c.16
Gereja St Joan Don Bosco,-2.538186,112.95771,http://lh3.ggpht.com/LgulBxhfZ0Lbgj6uQ6lvZhtjFcFpppTU_wipK5jGRL4uEp8feiJGhijvBposEGDbGaTlWwNjEP-9RdugrDM,06affcc03e7c4f1e83691a00f754d833.16
Relief Alkitab,-2.538033,112.962691,http://lh5.ggpht.com/eZsZ-jIIrto7fmtwgPWGjfHeUGJoLmLpyVDjfCDhXXx42DQbb7rMP1GMHXa3ZNWdgX1DD4TZ_GwsX9xohk9T-w,ab84241858684404a88abeb322c33356.16
Patung Yesus,-2.537903,112.962831,http://lh5.ggpht.com/pKZRltx5FbevFzQABu7XxR6zOSM8j3Hvt4hhT-o2ZXJttzw3U0u-Ts2h_HOQymZ7WklPv0IYJQSf4QaJ_l7z,08a3703733d64789bb894d77e04137ea.16
Pondok Pesantren Al Fajar,-2.5382,112.961414,http://lh3.ggpht.com/LafL-7vJGSMzUSRNCc6ELwaNGuB2SWl-ZWrl_chQDgxiNDrF64nEQVxw6MMp-Ax20DTXq4CQCltAXn-QNVB1,36e59371e66441318931f6e90ba32665.16
Air Mancur Tikungan S,-2.537242,112.964527,http://lh6.ggpht.com/Ps2JQYgy7vU7lp96fKPy7dTn0iUIp8rpTx8flJTM6KqJo6cL1AYRIemlgfCSiz_T6oAYQ2rZukf0nKKiaw,0532e21387ae4252a6f4284dbe98fa84.16
Masjid Shirotol Mustaqim,-2.533258,112.955428,http://lh6.ggpht.com/iMQQ9YlpD3Le-qYxxGYOPUkf7vlzux8hjTalWxolWT_tfSXKe3_X3_U3MsTpi13NK5ea9-Gof63JiyxLico,9accf2c54ed34f9ba5281b6be7c50e99.16
Post Office Sampit,-2.539685,112.960315,http://lh5.ggpht.com/GSQHNLhZxZHs9N1gltLe7WTLUhJdYoMq5M4WXoDZWZ324KUYeVKqjjDV1xXE988-_uG8kW1mk86-CS9OnkE,bb8bbeec549346bba280214099773d77.16
Langgar Pasar Keramat,-2.533204,112.961148,http://lh3.ggpht.com/gQKW0wooAPiqFJ5VrQi39M-AUM6kxQqgMXurtJG-gFjtUqxjvg8y7XQIZEZU2qAYYRus39hfyKkDXTqWF-xH,ac8cc06e195b4980a837628c3f489dd7.16
SD MIN Mosque,-2.535557,112.954513,http://lh6.ggpht.com/7BZ9tzUYap6LABTFtXadZWiUS7zLkKxkr9rkASmV7p5Gb0XhNzWUmvKjjud3I99ElIXbMv_Z4BNNZ0__raCq,4f7d3e886e5345979a9f73a9e580fa12.16
Taman Kota Gate,-2.537444,112.959397,http://lh3.googleusercontent.com/hYkarEzmbjAqtK0PklKoxt3DiXn791Yv-rnO2AmGlkbEXxCtlrSagtweqmHj6aSA5QMk8nN0QGHoISiCY7Gq,737b5aa012764a75ae85bf0ff29a7aa8.16
